"idx","dateOf","timeCriterium","highOrLow","swingPrice","swingRange","swingTB","swingCD","keyToMarketData","ticker"
1652,#2004-08-13#,5,1,2959.58,-212.0798,17,23,27212,"^DJT"
1653,#2004-12-30#,5,2,3823.96,864.3799,96,139,27308,"^DJT"
1654,#2005-01-24#,5,1,3454.74,-369.22,16,25,27324,"^DJT"
1655,#2005-02-02#,5,2,3618.5,163.76,7,9,27331,"^DJT"
1656,#2005-02-10#,5,1,3559.1,-59.3999,6,8,27337,"^DJT"
1657,#2005-03-08#,5,2,3889.97,330.8699,17,26,27354,"^DJT"
1658,#2005-04-27#,5,1,3348.36,-541.6099,35,50,27389,"^DJT"
1659,#2005-06-07#,5,2,3670.79,322.4299,28,41,27417,"^DJT"
1660,#2005-06-27#,5,1,3382.14,-288.6501,14,20,27431,"^DJT"
1661,#2005-07-28#,5,2,3821.96,439.8201,22,31,27453,"^DJT"
1662,#2005-09-22#,5,1,3570.65,-251.3101,39,56,27492,"^DJT"
1663,#2005-10-04#,5,2,3758.09,187.4402,8,12,27500,"^DJT"
1664,#2005-10-19#,5,1,3550.55,-207.54,11,15,27511,"^DJT"
1665,#2005-11-28#,5,2,4190.55,639.9998,27,40,27538,"^DJT"
1666,#2005-12-13#,5,1,4050.46,-140.0898,11,15,27549,"^DJT"
1667,#2005-12-27#,5,2,4306.08,255.6201,9,14,27558,"^DJT"
1668,#2006-01-18#,5,1,4059.87,-246.21,14,22,27572,"^DJT"
1669,#2006-01-31#,5,2,4376.41,316.54,9,13,27581,"^DJT"
1670,#2006-02-08#,5,1,4217.79,-158.6201,6,8,27587,"^DJT"
1671,#2006-04-07#,5,2,4760.45,542.6602,41,58,27628,"^DJT"
1672,#2006-04-17#,5,1,4565.66,-194.79,5,10,27633,"^DJT"
1673,#2006-05-10#,5,2,5013.66,448,17,23,27650,"^DJT"
1674,#2006-05-24#,5,1,4534.64,-479.02,10,14,27660,"^DJT"
1675,#2006-07-03#,5,2,4975.56,440.9199,27,40,27687,"^DJT"
1676,#2006-08-11#,5,1,4134.72,-840.8398,28,39,27715,"^DJT"
1677,#2006-10-25#,5,2,4818.35,683.6299,52,75,27767,"^DJT"
1678,#2006-11-03#,5,1,4593.39,-224.96,7,9,27774,"^DJT"
1679,#2006-11-16#,5,2,4891.04,297.6499,9,13,27783,"^DJT"
1680,#2006-12-22#,5,1,4496.08,-394.96,25,36,27808,"^DJT"
1681,#2007-01-18#,5,2,4877.68,381.6001,15,27,27823,"^DJT"
1682,#2007-01-26#,5,1,4687.14,-190.54,6,8,27829,"^DJT"
1683,#2007-02-02#,5,2,5032.41,345.27,5,7,27834,"^DJT"
1684,#2007-02-09#,5,1,4899.66,-132.75,5,7,27839,"^DJT"
1685,#2007-02-22#,5,2,5211.41,311.75,8,13,27847,"^DJT"
1686,#2007-03-14#,5,1,4614.35,-597.0601,14,20,27861,"^DJT"
1687,#2007-06-01#,5,2,5348.47,734.1201,55,79,27916,"^DJT"
1688,#2007-06-13#,5,1,4992.24,-356.23,8,12,27924,"^DJT"
1689,#2007-07-18#,5,2,5487.04,494.7998,24,35,27948,"^DJT"
1690,#2007-08-16#,5,1,4486.6,-1000.44,21,29,27969,"^DJT"
1691,#2007-08-23#,5,2,4958.72,472.1201,5,7,27974,"^DJT"
1692,#2007-09-10#,5,1,4649.75,-308.9702,11,18,27985,"^DJT"
1693,#2007-10-05#,5,2,5023.46,373.71,19,25,28004,"^DJT"
1694,#2007-11-21#,5,1,4346.39,-677.0698,33,47,28037,"^DJT"
1695,#2007-12-11#,5,2,4936.83,590.4399,13,20,28050,"^DJT"
1696,#2008-01-22#,5,1,4032.87,-903.96,27,42,28077,"^DJT"
1697,#2008-02-04#,5,2,4828.75,795.8799,9,13,28086,"^DJT"
1698,#2008-03-10#,5,1,4388.29,-440.46,24,35,28110,"^DJT"
1699,#2008-05-02#,5,2,5385.2,996.9102,38,53,28148,"^DJT"
1700,#2008-05-12#,5,1,5147.29,-237.9102,6,10,28154,"^DJT"
1701,#2008-05-19#,5,2,5536.56,389.27,5,7,28159,"^DJT"
1702,#2008-06-12#,5,1,5031.79,-504.77,17,24,28176,"^DJT"
1703,#2008-06-19#,5,2,5298.98,267.1899,5,7,28181,"^DJT"
1704,#2008-07-15#,5,1,4571.31,-727.6699,17,26,28198,"^DJT"
1705,#2008-07-23#,5,2,5195.41,624.1001,6,8,28204,"^DJT"
1706,#2008-08-04#,5,1,4875.39,-320.02,8,12,28212,"^DJT"
1707,#2008-08-11#,5,2,5293.41,418.02,5,7,28217,"^DJT"
1708,#2008-08-21#,5,1,4859.62,-433.79,8,10,28225,"^DJT"
1709,#2008-09-02#,5,2,5259.33,399.71,7,12,28232,"^DJT"
1710,#2008-10-28#,5,1,3283.12,-1976.21,40,56,28272,"^DJT"
1711,#2008-11-04#,5,2,4094.39,811.2698,5,7,28277,"^DJT"
1712,#2008-11-21#,5,1,2909.29,-1185.1,13,17,28290,"^DJT"
1713,#2009-01-06#,5,2,3737.01,827.72,29,46,28319,"^DJT"
1714,#2009-02-02#,5,1,2865.58,-871.4299,18,27,28337,"^DJT"
1715,#2009-02-09#,5,2,3238.33,372.75,5,7,28342,"^DJT"
1716,#2009-03-09#,5,1,2134.21,-1104.12,19,28,28361,"^DJT"
1717,#2009-05-07#,5,2,3458.23,1324.02,42,59,28403,"^DJT"
1718,#2009-05-26#,5,1,2971.98,-486.25,12,19,28415,"^DJT"
1719,#2009-06-11#,5,2,3434.26,462.28,12,16,28427,"^DJT"
1720,#2009-06-23#,5,1,3041.05,-393.21,8,12,28435,"^DJT"
1721,#2009-08-25#,5,2,3819.28,778.23,44,63,28479,"^DJT"
1722,#2009-09-02#,5,1,3571.69,-247.5901,6,8,28485,"^DJT"
1723,#2009-09-17#,5,2,4055.58,483.8901,10,15,28495,"^DJT"
1724,#2009-10-02#,5,1,3657.36,-398.22,11,15,28506,"^DJT"
1725,#2009-10-21#,5,2,4066.4,409.0398,13,19,28519,"^DJT"
1726,#2009-11-02#,5,1,3546.48,-519.9199,8,12,28527,"^DJT"
1727,#2009-11-16#,5,2,4059.91,513.4299,10,14,28537,"^DJT"
1728,#2009-11-27#,5,1,3871.81,-188.0999,8,11,28545,"^DJT"
1729,#2010-01-11#,5,2,4265.61,393.7998,29,45,28574,"^DJT"
1730,#2010-02-05#,5,1,3742.01,-523.5999,18,25,28592,"^DJT"
1731,#2010-03-19#,5,2,4439.24,697.2302,29,42,28621,"^DJT"
1732,#2010-03-26#,5,1,4311.79,-127.4502,5,7,28626,"^DJT"
1733,#2010-04-30#,5,2,4812.87,501.0801,24,35,28650,"^DJT"
1734,#2010-05-25#,5,1,4045.9,-766.9702,17,25,28667,"^DJT"
1735,#2010-06-21#,5,2,4514.12,468.2202,18,27,28685,"^DJT"
1736,#2010-07-06#,5,1,3872.64,-641.4802,10,15,28695,"^DJT"
1737,#2010-08-09#,5,2,4524.78,652.1399,24,34,28719,"^DJT"
1738,#2010-08-25#,5,1,4010.52,-514.2598,12,16,28731,"^DJT"
1739,#2010-11-05#,5,2,4957.21,946.6899,51,72,28782,"^DJT"
1740,#2010-11-16#,5,1,4722.72,-234.4897,7,11,28789,"^DJT"
1741,#2011-01-18#,5,2,5256.8,534.0796,42,63,28831,"^DJT"
1742,#2011-01-28#,5,1,4988.67,-268.1299,8,10,28839,"^DJT"
1743,#2011-02-18#,5,2,5306.65,317.98,15,21,28854,"^DJT"
1744,#2011-03-15#,5,1,4906.63,-400.02,16,25,28870,"^DJT"
1745,#2011-04-01#,5,2,5404.33,497.7002,13,17,28883,"^DJT"
1746,#2011-04-18#,5,1,5175.04,-229.29,11,17,28894,"^DJT"
1747,#2011-05-02#,5,2,5565.78,390.7397,9,14,28903,"^DJT"
1748,#2011-06-13#,5,1,5043.21,-522.5698,29,42,28932,"^DJT"
