"idx","dateOf","timeCriterium","highOrLow","swingPrice","swingRange","swingTB","swingCD","keyToMarketData","ticker"
554,#1934-07-03#,5,1,94.3,-6.799995,12,14,8852,"^DJI"
555,#1934-07-11#,5,2,99.4,5.099998,6,8,8858,"^DJI"
556,#1934-07-26#,5,1,84.6,-14.8,13,15,8871,"^DJI"
557,#1934-08-13#,5,2,92.6,8,15,18,8886,"^DJI"
558,#1934-08-20#,5,1,90.1,-2.5,6,7,8892,"^DJI"
559,#1934-08-25#,5,2,96,5.900002,5,5,8897,"^DJI"
560,#1934-09-17#,5,1,85.7,-10.3,18,23,8915,"^DJI"
561,#1934-09-27#,5,2,94,8.300003,9,10,8924,"^DJI"
562,#1934-10-04#,5,1,89.8,-4.199997,6,7,8930,"^DJI"
563,#1934-10-17#,5,2,96.4,6.599998,10,13,8940,"^DJI"
564,#1934-10-26#,5,1,92.2,-4.200005,8,9,8948,"^DJI"
565,#1934-12-06#,5,2,104.2,12,32,41,8980,"^DJI"
566,#1934-12-20#,5,1,98.9,-5.299995,12,14,8992,"^DJI"
567,#1935-01-07#,5,2,106.7,7.799995,13,18,9005,"^DJI"
568,#1935-01-15#,5,1,99.5,-7.199997,7,8,9012,"^DJI"
569,#1935-01-21#,5,2,103.9,4.400002,5,6,9017,"^DJI"
570,#1935-02-07#,5,1,100,-3.900002,15,17,9032,"^DJI"
571,#1935-02-18#,5,2,108.3,8.300003,8,11,9040,"^DJI"
572,#1935-03-18#,5,1,96,-12.3,23,28,9063,"^DJI"
573,#1935-04-25#,5,2,111.5,15.5,32,38,9095,"^DJI"
574,#1935-05-02#,5,1,107.8,-3.699997,6,7,9101,"^DJI"
575,#1935-07-09#,5,2,123.3,15.5,56,68,9157,"^DJI"
576,#1935-07-16#,5,1,121,-2.300003,6,7,9163,"^DJI"
577,#1935-08-14#,5,2,128.9,7.899994,25,29,9188,"^DJI"
578,#1935-08-20#,5,1,125,-3.899994,5,6,9193,"^DJI"
579,#1935-09-11#,5,2,135.1,10.10001,18,22,9211,"^DJI"
580,#1935-09-20#,5,1,128,-7.100006,8,9,9219,"^DJI"
581,#1935-11-20#,5,2,149.4,21.39999,49,61,9268,"^DJI"
582,#1935-12-02#,5,1,140.4,-9,9,12,9277,"^DJI"
583,#1935-12-09#,5,2,145.1,4.700012,6,7,9283,"^DJI"
