"idx","dateOf","timeCriterium","highOrLow","swingPrice","swingRange","swingTB","swingCD","keyToMarketData","ticker"
72,#1976-08-02#,5,2,.7688,.0133,15,21,1400,"EURUSD"
73,#1976-08-09#,5,1,.7656,-3.199995E-03,5,7,1405,"EURUSD"
74,#1976-08-17#,5,2,.7777,1.209998E-02,6,8,1411,"EURUSD"
75,#1976-08-31#,5,1,.7715,-6.200016E-03,10,14,1421,"EURUSD"
76,#1976-10-28#,5,2,.8142,4.269999E-02,40,58,1461,"EURUSD"
77,#1976-11-17#,5,1,.805,-9.199977E-03,12,20,1473,"EURUSD"
78,#1977-01-03#,5,2,.8322,2.719998E-02,32,47,1505,"EURUSD"
79,#1977-01-28#,5,1,.8023,-2.990001E-02,19,25,1524,"EURUSD"
80,#1977-05-04#,5,2,.8306,2.830005E-02,67,96,1591,"EURUSD"
81,#1977-05-11#,5,1,.822,-8.599997E-03,5,7,1596,"EURUSD"
82,#1977-05-26#,5,2,.8282,6.199956E-03,11,15,1607,"EURUSD"
83,#1977-06-07#,5,1,.8257,-2.499998E-03,7,12,1614,"EURUSD"
84,#1977-07-26#,5,2,.868,4.229999E-02,33,49,1647,"EURUSD"
85,#1977-08-16#,5,1,.8335,-3.449994E-02,15,21,1662,"EURUSD"
86,#1977-08-24#,5,2,.8458,1.229995E-02,6,8,1668,"EURUSD"
87,#1977-09-14#,5,1,.8367,-9.09996E-03,14,21,1682,"EURUSD"
88,#1977-10-03#,5,2,.851,1.429999E-02,13,19,1695,"EURUSD"
89,#1977-10-11#,5,1,.8472,-3.800035E-03,5,8,1700,"EURUSD"
90,#1978-03-02#,5,2,.9704,.1232,95,142,1795,"EURUSD"
91,#1978-03-10#,5,1,.9466,-2.379996E-02,6,8,1801,"EURUSD"
92,#1978-03-31#,5,2,.9758,2.919996E-02,15,21,1816,"EURUSD"
93,#1978-05-23#,5,1,.9141,-6.169999E-02,37,53,1853,"EURUSD"
94,#1978-07-10#,5,2,.9537,3.960001E-02,32,48,1885,"EURUSD"
95,#1978-07-17#,5,1,.942,-1.170003E-02,5,7,1890,"EURUSD"
96,#1978-08-16#,5,2,1.0027,.0607,22,30,1912,"EURUSD"
97,#1978-08-28#,5,1,.9643,-3.839999E-02,8,12,1920,"EURUSD"
98,#1978-10-30#,5,2,1.1315,.1672,43,63,1963,"EURUSD"
99,#1978-11-20#,5,1,1.0094,-.1221,14,21,1977,"EURUSD"
100,#1978-12-29#,5,2,1.0716,6.219995E-02,27,39,2004,"EURUSD"
101,#1979-01-11#,5,1,1.0481,-2.349997E-02,8,13,2012,"EURUSD"
102,#1979-01-18#,5,2,1.062,1.390004E-02,5,7,2017,"EURUSD"
103,#1979-04-09#,5,1,1.0234,-3.860009E-02,55,81,2072,"EURUSD"
104,#1979-04-26#,5,2,1.031,7.600069E-03,13,17,2085,"EURUSD"
105,#1979-05-21#,5,1,1.0154,-1.559997E-02,17,25,2102,"EURUSD"
106,#1979-10-01#,5,2,1.1215,.1061,92,133,2194,"EURUSD"
107,#1979-10-29#,5,1,1.0762,-4.530001E-02,19,28,2213,"EURUSD"
108,#1979-12-03#,5,2,1.1418,6.560004E-02,22,35,2235,"EURUSD"
109,#1980-04-07#,5,1,.9875,-.1543,86,126,2321,"EURUSD"
110,#1980-06-13#,5,2,1.1111,.1235999,48,67,2369,"EURUSD"
111,#1980-06-24#,5,1,1.1018,-9.299994E-03,7,11,2376,"EURUSD"
112,#1980-07-28#,5,2,1.1247,2.289999E-02,23,34,2399,"EURUSD"
113,#1980-08-22#,5,1,1.0792,-4.549992E-02,19,25,2418,"EURUSD"
114,#1980-09-03#,5,2,1.0982,1.899993E-02,7,12,2425,"EURUSD"
115,#1980-09-29#,5,1,1.0753,-2.289999E-02,18,26,2443,"EURUSD"
116,#1980-10-06#,5,2,1.0841,8.80003E-03,5,7,2448,"EURUSD"
117,#1980-12-11#,5,1,.9661,-.118,44,66,2492,"EURUSD"
118,#1981-01-06#,5,2,1.0079,4.180002E-02,16,26,2508,"EURUSD"
119,#1981-02-13#,5,1,.8785,-.1294,27,38,2535,"EURUSD"
120,#1981-03-19#,5,2,.9514,.0729,23,34,2558,"EURUSD"
121,#1981-06-04#,5,1,.8079,-.1435,54,77,2612,"EURUSD"
122,#1981-06-15#,5,2,.8313,2.340001E-02,7,11,2619,"EURUSD"
123,#1981-07-08#,5,1,.7876,-4.370004E-02,17,23,2636,"EURUSD"
124,#1981-07-15#,5,2,.8098,2.220005E-02,5,7,2641,"EURUSD"
125,#1981-08-10#,5,1,.7586,-5.120003E-02,18,26,2659,"EURUSD"
126,#1981-09-21#,5,2,.8746,.116,29,42,2688,"EURUSD"
127,#1981-09-28#,5,1,.8334,-4.119998E-02,5,7,2693,"EURUSD"
128,#1981-10-09#,5,2,.8903,5.689996E-02,9,11,2702,"EURUSD"
129,#1981-10-26#,5,1,.8442,-4.609996E-02,10,17,2712,"EURUSD"
130,#1981-11-09#,5,2,.8843,4.009998E-02,9,14,2721,"EURUSD"
131,#1981-11-20#,5,1,.8633,-2.099997E-02,8,11,2729,"EURUSD"
132,#1981-11-30#,5,2,.8809,.0176,5,10,2734,"EURUSD"
133,#1981-12-18#,5,1,.8509,-3.000003E-02,14,18,2748,"EURUSD"
134,#1981-12-31#,5,2,.8715,2.060002E-02,8,13,2756,"EURUSD"
135,#1982-02-17#,5,1,.8129,-5.860001E-02,31,48,2787,"EURUSD"
136,#1982-03-08#,5,2,.8324,1.950002E-02,13,19,2800,"EURUSD"
137,#1982-04-15#,5,1,.8044,-.028,28,38,2828,"EURUSD"
138,#1982-05-11#,5,2,.8546,5.019999E-02,18,26,2846,"EURUSD"
139,#1982-07-08#,5,1,.7758,-7.880002E-02,40,58,2886,"EURUSD"
140,#1982-07-23#,5,2,.814,3.820002E-02,11,15,2897,"EURUSD"
141,#1982-08-11#,5,1,.773,-4.100001E-02,13,19,2910,"EURUSD"
142,#1982-08-24#,5,2,.8065,3.350002E-02,9,13,2919,"EURUSD"
143,#1982-09-13#,5,1,.7743,-3.220004E-02,13,20,2932,"EURUSD"
144,#1982-09-22#,5,2,.7811,6.799996E-03,7,9,2939,"EURUSD"
145,#1982-10-04#,5,1,.7635,-.0176,8,12,2947,"EURUSD"
146,#1982-10-12#,5,2,.7835,2.000004E-02,5,8,2952,"EURUSD"
